번호,구시군,후보자 명수(민주/통합당만),선거구 개수,선거구명
1,종로구,2,1,종로구
2,중구,2,1,중구성동구을
3,용산구,2,1,용산구
4,성동구,2,1,중구성동구갑
5,광진구,2,2,광진구갑/광진구을
6,동대문구,2,2,동대문구갑/동대문구을
7,중랑구,2,2,중량구갑/중량구을
8,성북구,2,2,성북구갑/성북구을
9,강북구,2,2,강북구갑/강북구을
10,도봉구,2,2,도봉구갑/도봉구을
11,노원구,2,3,노원구갑/노원구을/노원구병
12,은평구,2,2,은평구갑/은평구을
13,서대문구,2,2,서대문구갑/서대문구을
14,마포구,2,2,마포구갑/마포구을
15,양천구,2,2,양천구갑/양천구을
16,강서구,2,3,강서구갑/강서구을/강서구병
17,구로구,2,2,구로구갑/구로구을
18,금천구,2,1,금천구
19,영등포구,2,2,영등포구갑/영등포구을
20,동작구,2,2,동작구갑/동작구을
21,관악구,2,2,관악구갑/관악구을
22,서초구,2,2,서초구갑/서초구을
23,강남구,2,3,강남구갑/강남구을/강남구병
24,송파구,2,3,송파구갑/송파구을/송파구병
25,강동구,2,2,강동구갑/강동구을
